name,fat,protein,carb,calories,recipeLink,recipeName,recipeUrl,click_count
Roasted-Zucchini-with-Parmesan-9067724,14.0,7.0,103.0,560,recipe/Roasted-Zucchini-with-Parmesan-9067724,Roasted Zucchini with Parmesan,https://lh3.googleusercontent.com/esGCYnQ-yZyaSarwQdfbPGBSwfyGSHU9-TyxPopyECPGeJnToF50iX51UHXT7rBU7nnsudQo4GImyyrm3wgO,21153
30-Minute-Sheet-Pan-Chicken-Caprese-9029516,56.0,21.0,105.0,990,recipe/30-Minute-Sheet-Pan-Chicken-Caprese-9029516,30-Minute Sheet Pan Chicken Caprese,https://lh3.googleusercontent.com/Tb8IvnkXKALMYzvw6ArjkDQVG-KqcCGMPsBZydtl6CFF3fcCe89Lh1it0vpWuO1G30720aJPStLSwws2nAhiY-0,11509
Homemade-Starbucks-Pink-Drink-2322963,23.0,4.0,106.0,640,recipe/Homemade-Starbucks-Pink-Drink-2322963,Homemade Starbucks Pink Drink,https://lh3.googleusercontent.com/51nYzN8QB3R32CbDOzqlLTvILC0H0l5-IOCHc31WjQUzXywYdcyyUphqzJ8GycAJ8QzNd5p718zg1ayOdyvKMg,4814
Fried-Cabbage-9062083,5.0,3.0,11.0,100,recipe/Fried-Cabbage-9062083,Fried Cabbage,https://lh3.googleusercontent.com/bMk2hZBq_kxTkGehVSrd3KT7mUDFZJbhJz0HkEp1d4qfNgAN8c0wQPxckSgMwlG4DSdP2ZYO9jUcWPQC4h2v,1491
Pan-Fried-Cinnamon-Bananas-2476640,0.0,0.0,11.0,45,recipe/Pan-Fried-Cinnamon-Bananas-2476640,Pan Fried Cinnamon Bananas,https://lh3.googleusercontent.com/F1rSRkcYBpV2jaBJLLChbvb8ED725f4hbpxyUqZYGEoiaCAKrUtYpvf_Z8ItLy1TnGt36lRmEQb574wLM5Lu,71967
5-Ingredient-Honey-BBQ-Baked-Chicken-Wings-9029543,0.0,0.0,11.0,45,recipe/5-Ingredient-Honey-BBQ-Baked-Chicken-Wings-9029543,5-Ingredient Honey-BBQ Baked Chicken Wings,https://lh3.googleusercontent.com/zx0QKpN_34J8KbtIygsOdI-OHh_gt1ELdO-xjbtCxW7VKg9WNXt4EqFQZkyrhG5vkZxWHMxf7qRbL99bFYHYImI,10897
Creamy-White-Christmas-Punch-2599147,3.5,3.0,11.0,70,recipe/Creamy-White-Christmas-Punch-2599147,Creamy White Christmas Punch,https://lh3.googleusercontent.com/bQaF557lgqslnzTzs2qusaaWMH1Bnvdti3GXhHzZhHu8CTWxj9S-hYuznYsZyb-A6gaYn0SgNmv218V8v5kjgQ,1154
Crunchy-Detox-Salad-2497438,24.0,26.0,11.0,350,recipe/Crunchy-Detox-Salad-2497438,Crunchy Detox Salad,https://lh3.googleusercontent.com/dSRP5ZtzgqZAM3KtGvkHuZjYjsuckPyeOGQSo9j-7SYHerZKPjyY_Bks4PgXFcyLqU4WopAwwpjh3gVuq27j,9421
Healthy-Chocolate-Pudding-2537903,9.0,17.0,11.0,190,recipe/Healthy-Chocolate-Pudding-2537903,Healthy Chocolate Pudding,https://lh3.googleusercontent.com/FR3Dm5BAciT7Xpft2xKW4bkBIK9RKWo4qvbCS_Mt57gSw4HUWBZz9Ge9goLH43CQkYVC542vA7q-fU9M0tIJ,6838
Foolproof-Savory-Shepherd_s-Pie-9029503,7.0,4.0,11.0,120,recipe/Foolproof-Savory-Shepherd_s-Pie-9029503,Foolproof Savory Shepherd's Pie,https://lh3.googleusercontent.com/YXB8IQ_XyZ7vp--tpL96XM6MHoBL12bDAvs605e7mEU7aet4GLj07uVfdXQ_gy54ErTOibtU4aiqnvMNZnwy_Qg,4684
